id,created_at,user_id,screen_name,text
1070314633469157377,2018-12-05 13:51:08,2276428627,kindnessKP,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070314269126746112,2018-12-05 13:49:41,797324156828143616,BornToSlayJM,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070313798618112001,2018-12-05 13:47:49,956578632679399424,stargaryn97,b'RT @__jim_in: [#JimInNews] 180517\n\n#JIMIN is the second most engaged hashtag for 2017 beating TheLastJedi and iPhoneX \xf0\x9f\x8e\x89\n\nJimin for top soci\xe2\x80\xa6'
1070311849990582272,2018-12-05 13:40:05,856805168524005376,bestproductsell,"b'UGpine Type C Wireless #Charger,Qi Wireless Charging Pad Fast Charge for #Samsung Galaxy Note 8 S8 S8 Plus S7 S7 Ed\xe2\x80\xa6 https://t.co/HZTmi3GcNW'"
1070311512458309632,2018-12-05 13:38:44,314110013,GlennDiPaola,b'I\xe2\x80\x99m puzzled!! ......\n-\n#morning #sunrise #building #apartment #architecture #iphonex #philly #fall #abstract\xe2\x80\xa6 https://t.co/wuZcTTxtS3'
1070310274689847296,2018-12-05 13:33:49,481474006,staaybeautiful_,"b'i heard if you take your iphone charger to apple they\xe2\x80\x99ll replace it, is it true? @AppleSupport #apple #iphonex'"
1070310078274854913,2018-12-05 13:33:02,20513008,belmahdy,b'Buy now @amazon\nhttps://t.co/QY902fIvzN \n\n#NYC #Amazon #HovDay #iphone #iPhonephotography #iPhoneXSMax #iPhoneXR\xe2\x80\xa6 https://t.co/2ze43MNViV'
1070309864403030016,2018-12-05 13:32:11,20513008,belmahdy,b'Buy now @amazon\nhttps://t.co/QY902fIvzN\n\n#NYC #Amazon #HovDay #iphone #iPhonephotography #iPhoneXSMax #iPhoneXR\xe2\x80\xa6 https://t.co/iMyeWGRa4P'
1070309862104535040,2018-12-05 13:32:11,29578757,LaurenGarnham,"b'Mum: \xe2\x80\x98Sorry, I can\xe2\x80\x99t help you, I\xe2\x80\x99ve got tennis elbow.\xe2\x80\x99\nMe: \xf0\x9f\x8e\x84\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x98\x8d\xf0\x9f\x8e\x84\n#christmas #christmastree #strongwoman #dayoff\xe2\x80\xa6 https://t.co/vt7li2XN9v'"
1070309103111614465,2018-12-05 13:29:10,1008254882782928897,minsugar_cheyt,"b'RT @GiveawayPrism: 2018 #IPHONEX #Giveaway!\n\n1. FOLLOW ME.\n2. RETWEET THIS POST\n3. COMMENT ""DONE"" BELOW.\n\nI will be announcing 3 WINNERS in\xe2\x80\xa6'"
1070308943417683969,2018-12-05 13:28:32,856805168524005376,bestproductsell,"b'Bluetooth #Headset,Wireless Earbuds Stereo Earphone Cordless Sport Headsets Compatible with Apple #iPhone8 X 7 7 Pl\xe2\x80\xa6 https://t.co/g0QYJwIYQB'"
1070308269380567040,2018-12-05 13:25:51,3080308981,reemalshaikh_,b'iPhoneX'
